热度,作者,用户名,内容,链接,发布时间
135,Zyfai,Zyfai_,"Ethereum is for Agents ⬆️  Zyfai brings a trustless, rule-based yield stack to agentic DeFi on @ethereum, powered by @safe and verifiable through ZK proofs &amp; ERC-8004.  Now supporting ETH alongsid",https://twitter.com/Zyfai_/status/2031784548825272711,Wed Mar 11 17:29:19 +0000 2026
86,Berkay Secil,berkay_secil,"Autonomous AI agents are already trading and operating across DeFi.  Few examples on @base: • @AIxVC_Axelrod: AI hedge fund agent combining fundamental, technical, onchain and sentiment signals to all",https://twitter.com/berkay_secil/status/2031792818985845089,Wed Mar 11 18:02:11 +0000 2026
82,Surge,Surgexyz_,"Together with @lablabai and @AerodromeFi we're launching our ERC-8004 hack for agents that trade.   You can tune into live progress, upvote the best teams and invest into the best agents using Surge 2",https://twitter.com/Surgexyz_/status/2031813981992861952,Wed Mar 11 19:26:17 +0000 2026
76,BridgeMind,bridgemindai,Hunter Alpha just dropped on OpenRouter.  1 trillion parameters.   1M token context.   $0 per token.  Free.  Built specifically for agentic use.   Long-horizon planning.   Complex reasoning.   Multi-s,https://twitter.com/bridgemindai/status/2031900357433950234,Thu Mar 12 01:09:30 +0000 2026
61,Chill,ChillTRD,"$NOOK has now strategically placed itself in the core AI agent infrastructure pipeline.  • On the top, you have Clawnch that gives agents access to all crypto primitives (cross-chain swaps, DeFi, yiel",https://twitter.com/ChillTRD/status/2031835336570204490,Wed Mar 11 20:51:08 +0000 2026
59,VETRA ⚙️,0X_Vetra,"→ @ethereum Foundation’s dAI team and @virtuals_io introduced ERC-8183, a standard designed to solve one of the hardest problems in autonomous AI systems:  How two AI agents that don’t trust each othe",https://twitter.com/0X_Vetra/status/2031971272733741179,Thu Mar 12 05:51:18 +0000 2026
52,Abubaker,AbubakerDev,Hero section designed for an AI agent startup.  How’s it looking? https://t.co/Y9SMGfp3qB,https://twitter.com/AbubakerDev/status/2031788996444197106,Wed Mar 11 17:47:00 +0000 2026
48,Sail,SaildotMoney,"3 months of sailing on @arbitrum ⛵️  → +$100,000,000 in autonomous volume    → 22 yield sources unlocked    → $USDC + $USDT fully agent-optimized  Thank you for sailing with us.    The next wave is al",https://twitter.com/SaildotMoney/status/2031790979758411947,Wed Mar 11 17:54:53 +0000 2026
35,Blessing Elliot ꩜³ #WID,ElliotBlessing,"A few years ago, AI was mostly known for doing just one thing really well: answering questions.  You’d ask something, and it would give you a response. At the time, that felt pretty amazing.   But thi",https://twitter.com/ElliotBlessing/status/2031962587437338715,Thu Mar 12 05:16:47 +0000 2026
33,Beacon,beacon_defi,"Banks make billions from your money. You get 0.5%.  $BEACON flips this.  On-chain neobank, auto DeFi yields, and a token tied to real revenue.  Protocol fees, card revenue and LP yield, all flowing ri",https://twitter.com/beacon_defi/status/2031746978133201378,Wed Mar 11 15:00:02 +0000 2026
