Customer_ID,Date,Feedback_Text,Rating
C001,2025-03-01,  Great product and fast shipping! Very satisfied with my purchase.  ,5
C002,2025-03-02,the delivery was late but product quality is decent,3
C003,2025-03-02,TERRIBLE EXPERIENCE. Product arrived damaged and customer service was unhelpful.,1
C004,2025-03-03,Love it! Will definitely buy again. The quality exceeded my expectations.,5
C005,2025-03-04,Average product nothing special. Works as described but feels cheap.,3
C006,2025-03-05,  Worst purchase I have ever made. Completely broken on arrival.  ,1
C007,2025-03-06,Fast delivery and good packaging. Product works perfectly.,4
C008,2025-03-07,Not worth the price. I expected much better quality for what I paid.,2
C009,2025-03-08,Excellent customer service when I had a question. Product is great too!,5
C010,2025-03-09,  item was okay but the color was different from what was shown online  ,3
C011,2025-03-10,Absolutely love this! Best purchase I have made this year.,5
C012,2025-03-11,Product stopped working after two weeks. Very disappointed.,1
C013,2025-03-12,Good value for money. Does exactly what it says.,4
C014,2025-03-13,  shipping took forever and the package was damaged  ,2
C015,2025-03-14,Perfect gift for my daughter. She loves it!,5
C016,2025-03-15,Meh. It is fine I guess. Nothing to write home about.,3
C017,2025-03-16,AMAZING quality! So much better than competitors.,5
C018,2025-03-17,Would not recommend. Falls apart easily.,1
C019,2025-03-18,  Really happy with this purchase. Great quality and fair price.  ,4
C020,2025-03-19,The instructions were confusing but the product itself is okay.,3
C021,2025-03-20,DO NOT BUY. Scam product that does not match the description at all.,1
C022,2025-03-21,Decent product for the price point. Met my expectations.,4
C023,2025-03-22,,3
C024,2025-03-23,Beautiful design and excellent build quality. Very impressed.,5
C025,2025-03-24,  returned it. Too small and poor quality materials.  ,2
C026,2025-03-25,Works great! Easy to set up and use right out of the box.,4
C027,2025-03-26,Mediocre at best. There are better options available for less money.,2
C028,2025-03-27,Five stars! Exceeded all my expectations. Will buy more.,5
C029,2025-03-28,  the product is fine but customer support is terrible  ,3
C030,2025-03-29,Fantastic quality. You can tell this is well-made.,5
C031,2025-03-30,Broke on first use. Complete waste of money.,1
C032,2025-03-31,Pretty good overall. Minor issues but nothing deal-breaking.,4
C033,2025-04-01,  I am very unhappy with this product. It does not work as advertised.  ,1
C034,2025-04-02,Nice! Exactly what I was looking for. Quick delivery too.,4
C035,2025-04-03,Not great not terrible. Gets the job done.,3
C036,2025-04-04,Superb craftsmanship and attention to detail!,5
C037,2025-04-05,  poor quality control. received item with visible defects.  ,2
C038,2025-04-06,Happy with the purchase. Good product for everyday use.,4
C039,2025-04-07,,2
C040,2025-04-08,Incredible product! Best in its category without a doubt.,5
C041,2025-04-09,It works but feels cheaply made. You get what you pay for.,3
C042,2025-04-10,  Awful experience from start to finish. Never buying from here again.  ,1
C043,2025-04-11,Solid product. Reliable and well-designed.,4
C044,2025-04-12,The size was wrong and return process was a nightmare.,2
C045,2025-04-13,LOVE IT! Already ordered two more as gifts for friends.,5
C001,2025-03-01,  Great product and fast shipping! Very satisfied with my purchase.  ,5
C046,2025-04-14,  just okay. expected better based on the reviews.  ,3
C047,2025-04-15,Outstanding quality and value. Highly recommend to everyone!,5
C048,2025-04-16,Product was defective. Had to go through lengthy return process.,1
C011,2025-03-10,Absolutely love this! Best purchase I have made this year.,5
C049,2025-04-17,Good product with room for improvement on packaging.,4
C050,2025-04-18,  total disappointment. looks nothing like the pictures.  ,2
C051,2025-04-19,Pleasantly surprised by the quality. Would recommend.,4
C052,2025-04-20,Average. Does what it claims but nothing impressive.,3
C053,2025-04-21,Best money I have spent in a long time! Absolutely perfect.,5
C054,2025-04-22,  the product arrived late and was the wrong color  ,2
C055,2025-04-23,Really solid product. Using it daily and very happy.,4
C056,2025-04-24,,3
C028,2025-03-27,Five stars! Exceeded all my expectations. Will buy more.,5
C057,2025-04-25,Horrible quality. Cheap materials and poor construction.,1
C058,2025-04-26,  Nice product overall. Fast shipping and good packaging.  ,4
C059,2025-04-27,Not bad but I have seen better for the same price.,3
C060,2025-04-28,Absolutely wonderful! The whole family loves it.,5
C003,2025-03-02,TERRIBLE EXPERIENCE. Product arrived damaged and customer service was unhelpful.,1
C061,2025-04-29,Pretty disappointed with this one. Would not buy again.,2
C062,2025-04-30,  Solid purchase. Does everything I need it to do.  ,4
C063,2025-05-01,Mixed feelings. Some features are great others are lacking.,3
C064,2025-05-02,Top notch quality! Best product in this price range.,5
C065,2025-05-03,  waste of money. broke within a week of normal use.  ,1
C066,2025-05-04,Good enough for casual use. Not suitable for heavy duty tasks.,3
C067,2025-05-05,Excellent! Fast delivery beautiful packaging great product.,5
C068,2025-05-06,Could be better. The material feels thin and fragile.,2
C069,2025-05-07,Very satisfied with my purchase. Would recommend to a friend.,4
C070,2025-05-08,  another cheaply made product. so tired of this.  ,1
C071,2025-05-09,Good value. Not the best but certainly not the worst.,3
C072,2025-05-10,Outstanding! This company really knows how to make quality products.,5
C073,2025-05-11,Underwhelming. Thought it would be better based on the description.,2
C074,2025-05-12,Reliable product that I use every single day. Highly recommended.,4
C075,2025-05-13,  complete garbage. asking for a refund immediately.  ,1
