No,Diagram_Type,Use_Case,Template_Code,Best_For,Keywords
1,graph TB,Hierarchy / Architecture,"graph TB
    A[""Top Level""] --> B[""Level 2A""]
    A --> C[""Level 2B""]
    A --> D[""Level 2C""]
    B --> B1[""Detail 1""]
    B --> B2[""Detail 2""]
    C --> C1[""Detail 3""]
    D --> D1[""Detail 4""]
    classDef main fill:#4CAF50,stroke:#388E3C,color:#fff
    classDef mid fill:#2196F3,stroke:#1565C0,color:#fff
    classDef leaf fill:#FF9800,stroke:#F57C00,color:#fff
    class A main
    class B,C,D mid
    class B1,B2,C1,D1 leaf",hierarchy;tree;organization;architecture;classification,hierarchy architecture tree organization structure
2,graph LR,Process Flow / Pipeline,"graph LR
    A[""Input""] --> B[""Step 1""]
    B --> C[""Step 2""]
    C --> D[""Step 3""]
    D --> E[""Output""]
    style A fill:#4CAF50,color:#fff
    style E fill:#F44336,color:#fff",pipeline;data flow;sequential steps;process,flow pipeline process steps sequence
3,graph TB,Decision Tree / Optimization,"graph TB
    A{""Decision Point""} -->|Condition A| B[""Option A""]
    A -->|Condition B| C[""Option B""]
    B --> D{""Sub-decision""}
    D -->|Yes| E[""Result 1""]
    D -->|No| F[""Result 2""]
    C --> G[""Result 3""]
    style A fill:#FF9800,color:#fff
    style D fill:#FF9800,color:#fff",decision making;optimization strategy;troubleshooting;branching,decision optimize choose strategy branch
4,sequenceDiagram,Time-ordered Interactions,"sequenceDiagram
    participant H as Host (CPU)
    participant D as Device (GPU)
    H->>D: cudaMemcpy (H2D)
    activate D
    D->>D: kernel<<<grid block>>>()
    D-->>H: cudaMemcpy (D2H)
    deactivate D
    H->>H: Process results",API calls;data transfer;host-device;request-response;protocol,sequence time interaction transfer API call protocol
5,stateDiagram-v2,State Transitions,"stateDiagram-v2
    [*] --> Idle
    Idle --> Ready: Scheduled
    Ready --> Running: Dispatched
    Running --> Stalled: Memory wait
    Stalled --> Ready: Data arrived
    Running --> Completed: Done
    Completed --> [*]",thread lifecycle;page states;process states;FSM,state transition lifecycle status change FSM
6,classDiagram,Object Relationships,"classDiagram
    class Grid {
        +int dimX
        +int dimY
        +launch()
    }
    class Block {
        +int blockIdx
        +SharedMemory smem
        +sync()
    }
    class Warp {
        +int warpId
        +32 threads
        +execute()
    }
    Grid ""1"" --> ""*"" Block
    Block ""1"" --> ""*"" Warp",class hierarchy;object model;component relationships;API design,class object relationship component API model
7,gantt,Timeline / Parallel Tasks,"gantt
    title Pipeline Stages
    dateFormat X
    axisFormat %s
    section Stream 1
    H2D Transfer   :a1, 0, 3
    Kernel Execute  :a2, 3, 6
    D2H Transfer   :a3, 6, 9
    section Stream 2
    H2D Transfer   :b1, 3, 6
    Kernel Execute  :b2, 6, 9
    D2H Transfer   :b3, 9, 12",scheduling;pipeline overlap;concurrent tasks;streams;timeline,gantt timeline parallel overlap pipeline schedule concurrent
8,pie,Proportion / Distribution,"pie title Resource Distribution
    ""Compute"" : 45
    ""Memory Access"" : 30
    ""Synchronization"" : 15
    ""Other"" : 10",occupancy;resource usage;breakdown;distribution;ratio,pie proportion distribution breakdown ratio percentage
9,xychart-beta,Data Trends / Performance,"xychart-beta
    title ""Speedup vs Thread Count""
    x-axis [1, 2, 4, 8, 16, 32, 64]
    y-axis ""Speedup"" 0 --> 40
    line [1, 1.9, 3.7, 7.0, 12.5, 20.1, 28.3]
    line [1, 2, 4, 8, 16, 32, 64]",performance scaling;speedup curve;trend;benchmark;comparison,chart data trend performance scaling benchmark curve
10,flowchart LR,Memory Access Pattern,"flowchart LR
    subgraph ""Thread 0-3""
        T0[T0] & T1[T1] & T2[T2] & T3[T3]
    end
    subgraph ""Memory Banks""
        B0[Bank 0] & B1[Bank 1] & B2[Bank 2] & B3[Bank 3]
    end
    T0 --> B0
    T1 --> B1
    T2 --> B2
    T3 --> B3",memory access;bank conflicts;coalescing;data mapping,memory access bank conflict coalescing mapping stride
