No,Rule_Name,Priority,Category,Description,Example_Good,Example_Bad,When_To_Apply
1,example-first,CRITICAL,structure,"Always give a code example or concrete scenario BEFORE explaining the theory. Never start with abstract definitions.","First show: ```cuda __global__ void add(int *a, int *b, int *c) { ... }``` Then explain: 'A CUDA kernel is a function that runs on the GPU...'","'A CUDA kernel is a function declared with __global__ that executes on the GPU device. It is called from host code...' (Theory first, boring)","Every new concept introduction"
2,why-what-how,CRITICAL,structure,"Structure every concept explanation as: 1) Why do we need this? (pain point) 2) What is it? (definition + example) 3) How does it work? (step-by-step + diagram)","## Why? Accessing global memory is 100x slower than shared memory. ## What? Shared memory is fast on-chip storage. ## How? Declare with __shared__, load tile, sync, compute.","Just dumping the definition without motivation or usage steps.","Every concept section in lecture notes and atomic notes"
3,one-concept-per-note,CRITICAL,atomicity,"Each atomic concept note covers exactly ONE idea. If you need to explain two related but distinct concepts, create two separate notes linked with [[wiki-links]].","Separate files: 'Shared-Memory.md' and 'Bank-Conflicts.md' linked via [[Bank Conflicts]]","One giant file covering shared memory AND bank conflicts AND tiling all together","When creating atomic concept notes"
4,bilingual-terms,HIGH,language,"All technical terms use format: English Term（中文术语）with English as primary. First occurrence in a section should be bilingual; subsequent uses can be English-only.","Shared Memory（共享内存）is fast on-chip storage. Access to Shared Memory requires synchronization.","共享内存 is fast on-chip storage. (Chinese-first) OR Shared Memory is fast on-chip storage. (No Chinese at all)","Every technical term on first appearance"
5,comparison-table,HIGH,visualization,"When explaining two or more similar/contrasting concepts, ALWAYS use a comparison table. Tables are the fastest way to show differences.","| Feature | AoS | SoA | |---|---|---| | Memory Pattern | Scattered | Coalesced | | Cache Friendly | No | Yes |","'AoS stores data as an array of structures while SoA stores each field separately...' (Wall of text comparing two things)","Whenever comparing 2+ alternatives, approaches, or concepts"
6,mermaid-over-ascii,HIGH,visualization,"NEVER use ASCII art boxes or text diagrams. Always use Mermaid. Obsidian renders Mermaid natively.","```mermaid graph TB A[Registers] --> B[Shared Memory] --> C[Global Memory] ```","┌─────────────┐ │ Registers │ └──────┬──────┘ (ASCII art)","Any diagram, flowchart, or visual representation"
7,every-concept-one-diagram,HIGH,visualization,"Every core concept in a lecture note MUST have at least one Mermaid diagram OR comparison table. No concept should be text-only.","Section on Memory Hierarchy includes a graph TB showing the layers with latency annotations","Section on Memory Hierarchy with only paragraphs of text, no visual aid","Every core concept section"
8,code-annotations,HIGH,code,"Code examples must have inline comments explaining non-obvious lines. Use '// ← explanation' format for key lines.","```cuda __shared__ float tile[N][N]; // ← Declare shared memory for the tile tile[ty][tx] = A[row*N + tx]; // ← Load from global to shared __syncthreads(); // ← Wait for all threads to finish loading ```","```cuda __shared__ float tile[N][N]; tile[ty][tx] = A[row*N + tx]; __syncthreads(); ``` (No comments at all)","Every code example"
9,three-review-questions,HIGH,structure,"Every note ends with exactly 3 review questions at 3 levels: 1) Recall (definition), 2) Understanding (reasoning), 3) Application (problem-solving).","1. Recall: What is shared memory? 2. Understanding: Why does shared memory reduce global memory traffic? 3. Application: Design a tiled matrix multiply using shared memory for 32x32 tiles.","Only 1 question, or all questions at the same difficulty level, or no questions at all.","End of every lecture note and atomic concept note"
10,yaml-frontmatter,HIGH,structure,"Every note MUST have complete YAML frontmatter with: title, date, course, tags (3+), and aliases (for concept notes). Tags use lowercase-with-hyphens.","---\ntitle: 'Shared Memory - Fast On-chip Storage'\ndate: 2026-02-06\ncourse: GPU Computing\ntags: [cuda, shared-memory, optimization]\naliases: [共享内存, __shared__, SMEM]\n---","No frontmatter, or incomplete frontmatter missing tags/aliases, or tags with spaces","Every markdown file"
11,wiki-links,HIGH,structure,"Use Obsidian [[wiki-links]] for ALL cross-references. Never use standard markdown links for internal notes. Link concept names on first mention.","The [[Roofline Model]] shows whether your kernel is [[Memory-Bound]] or [[Compute-Bound]].","The Roofline Model shows... (no links) OR [Roofline Model](Roofline-Model.md) (markdown links)","Every reference to another note"
12,step-by-step-progressive,MEDIUM,structure,"For complex processes, use numbered steps. Each step should build on the previous one. Include intermediate results.","Step 1: Allocate shared memory tile. Step 2: Load data from global memory. Step 3: Synchronize threads. Step 4: Compute using shared memory. Step 5: Synchronize again before next iteration.","'Use shared memory by declaring it, loading data, synchronizing, and computing.' (All in one sentence)","Explaining algorithms, processes, optimization techniques"
13,real-world-analogy,MEDIUM,structure,"Start explanations with a real-world analogy to build intuition before diving into technical details.","'Think of shared memory like a whiteboard in a meeting room. All people in the room (threads in a block) can read and write to it quickly, but people in other rooms cannot see it.'","Jumping straight into: 'Shared memory is an on-chip SRAM with configurable size shared among threads in a CTA.'","Introduction of new concepts, especially abstract ones"
14,key-takeaway-box,MEDIUM,structure,"End each concept section with a single-sentence takeaway in a blockquote. This sentence should be flashcard-worthy.","'> **Key Takeaway**: Shared memory reduces global memory traffic by acting as a user-managed cache with ~5 cycle latency.'","No summary, or a multi-paragraph summary that's too long for a flashcard.","End of every concept section"
15,consistent-naming,MEDIUM,formatting,"Use hyphens for file names: Concept-Name.md. Use consistent capitalization in titles. Never mix spaces and hyphens in the same project.","Memory-Coalescing.md, Bank-Conflicts.md, Roofline-Model.md","Memory Coalescing.md, bank-conflicts.md, RooflineModel.md (inconsistent)","File naming"
16,formula-with-meaning,MEDIUM,content,"Every formula must be accompanied by: 1) variable definitions, 2) intuitive meaning, 3) edge case analysis.","$S = \\frac{1}{s + p/N}$ where s=serial fraction, p=parallel fraction, N=processors. **Meaning**: Even with infinite processors, speedup is limited to 1/s. **Edge case**: If s=0.1, max speedup = 10x.","$S = 1/(s + p/N)$ (Just the formula with no explanation)","Every mathematical formula"
17,pitfall-section,MEDIUM,content,"Include a 'Common Pitfalls' section in concept notes listing 2-3 mistakes students typically make, with how to avoid each.","**Pitfall**: Forgetting the second __syncthreads() after computation, causing data races in the next tile iteration. **Fix**: Always pair load-sync-compute-sync.","No mention of common mistakes","Atomic concept notes"
18,output-to-inbox,LOW,workflow,"All generated notes go to 00-Inbox/ in the Obsidian vault. User manually moves them to the correct course folder after review.","Output path: ~/...Schaefer_Master/00-Inbox/Shared-Memory.md","Directly writing to 30-Areas/35-Study/.../GPU Computing/ (bypassing inbox)","Note generation"
19,cross-course-linking,LOW,content,"When a concept appears in multiple courses, mention the cross-course connection. Use the glossary to find shared terms.","'[[Pipelining]] is also used in FPGA design (see [[FPGA]] course) for increasing throughput.'","Only mentioning the concept in the current course context","When a concept bridges multiple courses"
20,exam-pattern-hints,LOW,content,"For exam-relevant courses, include hints about common exam question patterns in the review questions section.","'**Exam Pattern**: You may be asked to calculate the speedup using Amdahl''s Law given a serial fraction and number of processors.'","No exam guidance","Exam-relevant courses and review question sections"
