id,name,features
1,Wireless Headphones,Bluetooth 5.0 - 30h battery - Active noise cancellation
2,USB-C Hub,7 ports - 4K video - 100W power delivery
3,Mechanical Keyboard,RGB lighting - Hot-swappable switches - Aluminum case
4,Portable Monitor,15.6 inch - USB-C - 1080p resolution
5,Webcam 4K,Ultra HD - Auto-focus - Stereo microphone
6,External SSD,2TB capacity - 1050MB/s speed - Rugged design
7,Desk Lamp,LED - Adjustable color temperature - USB charging
8,Phone Stand,Adjustable angles - Premium aluminum - Non-slip base
9,Cable Organizer,5 slots - Silicone material - Desktop mount
10,Power Bank,30000mAh - Fast charging - Dual USB ports
