Date,Product,Region,Units_Sold,Revenue,Cost
2025-01-05,Widget Alpha,North,120,3600.00,1800.00
2025-01-12,Widget Alpha,South,95,2850.00,1425.00
2025-01-19,Widget Beta,North,60,3000.00,1500.00
2025-01-26,Widget Alpha,East,140,4200.00,2100.00
2025-02-02,Widget Beta,South,45,2250.00,1125.00
2025-02-09,Widget Alpha,West,110,3300.00,1650.00
2025-02-16,Widget Gamma,North,80,4800.00,2400.00
2025-02-23,Widget Beta,East,55,2750.00,1375.00
2025-03-02,Widget Alpha,North,135,4050.00,2025.00
2025-03-09,Widget Gamma,South,70,4200.00,2100.00
2025-03-16,Widget Beta,West,50,2500.00,1250.00
2025-03-23,Widget Alpha,East,125,3750.00,1875.00
2025-03-30,Widget Gamma,North,90,5400.00,2700.00
2025-04-06,Widget Alpha,South,100,3000.00,1500.00
2025-04-13,Widget Beta,North,65,3250.00,1625.00
2025-04-20,Widget Gamma,East,75,4500.00,2250.00
2025-04-27,Widget Alpha,West,115,3450.00,1725.00
2025-05-04,Widget Beta,South,40,2000.00,1000.00
2025-05-11,Widget Gamma,North,95,5700.00,2850.00
2025-05-18,Widget Alpha,East,130,3900.00,1950.00
2025-05-25,Widget Beta,West,58,2900.00,1450.00
2025-06-01,Widget Gamma,South,85,5100.00,2550.00
2025-06-08,Widget Alpha,North,145,4350.00,2175.00
2025-06-15,Widget Beta,East,62,3100.00,1550.00
2025-06-22,Widget Gamma,West,78,4680.00,2340.00
2025-06-29,Widget Alpha,South,108,3240.00,1620.00
2025-07-06,Widget Beta,North,70,3500.00,1750.00
2025-07-13,Widget Gamma,East,88,5280.00,2640.00
2025-07-20,Widget Alpha,West,122,3660.00,1830.00
2025-07-27,Widget Beta,South,48,2400.00,1200.00
