category,heading_font,body_font,tone,tags
企业商务,Calibri,Calibri Light,formal,corporate default clean
企业商务,Georgia,Calibri,formal,classic elegant serif
企业商务,Arial Black,Arial,formal,bold strong authority
未来科技,Trebuchet MS,Calibri,technical,modern geometric clean
未来科技,Consolas,Calibri,technical,code tech monospace
未来科技,Calibri,Calibri Light,technical,neutral modern
年终总结,Georgia,Calibri,formal,classic professional
年终总结,Cambria,Calibri Light,formal,serif traditional
扁平简约,Calibri Light,Calibri Light,technical,minimal clean quiet
扁平简约,Arial,Arial,technical,neutral universal
中国风,SimHei,SimSun,creative,chinese-traditional bold
中国风,Microsoft YaHei,SimSun,creative,chinese-modern readable
文化艺术,Palatino,Garamond,creative,elegant literary
文化艺术,Georgia,Calibri,creative,classic warm
文艺清新,Cambria,Calibri Light,creative,soft literary
文艺清新,Book Antiqua,Calibri,creative,warm organic
卡通手绘,Impact,Arial,educational,bold playful
卡通手绘,Arial Black,Calibri,educational,strong friendly
创意趣味,Trebuchet MS,Calibri,creative,quirky dynamic
创意趣味,Impact,Arial,creative,bold disruptive
学术研究,Cambria,Calibri,formal,academic serif
学术研究,Times New Roman,Calibri,formal,paper classic citation
