Label,Category,Type,Internal_ID,Notes
Attack,Targets,built-in,unknown,"Built‑in hotkey that attacks your last target or selected target; ID numbers vary by client."
Last Target,Targets,built-in,unknown,"Targets the last thing you acted on; built into Razor; verify ID via the client."
Target Self,Targets,built-in,unknown,"Targets your character; part of the built‑in targeting commands."
Disarm (Special Move),Misc,built-in,unknown,"Activates the ‘Disarm’ special move; do not confuse with a Play: Disarm Toggle macro."
Equip Set 'Dexxer',Dress,built-in,unknown,"Equips the items defined in an Arm/Dress list; built‑in dress hotkey."
Use Once Agent,Agents,built-in,unknown,"Triggers the Use Once agent to consume a trapped pouch or other item; built‑in agent command."
Organizer Agent 1,Agents,built-in,unknown,"Runs the first Organizer agent; built‑in agent command."
Restock Agent,Agents,built-in,unknown,"Runs the Restock agent to pull items from a storage container; built‑in agent command."
Drink Greater Heal Potion,Items,built-in,unknown,"Uses the greater heal potion in your backpack or hand; built‑in item action."
Cast 'Teleport',Spells,built-in,unknown,"Casts the teleport spell; built‑in spell command."
Skill 'Hiding',Skills,built-in,unknown,"Uses the Hiding skill; built‑in skill command."
Play: Recall,Macros,macro,0,"Executes a user‑defined macro named ‘Recall’; the ‘Play:’ wrapper indicates a macro; internal ID is 0 for macro calls."
Play: Last Target Script,Scripts,script,0,"Executes a user script named ‘Last Target Script’; scripts are invoked with HotKeyAction|0|Play:Name; confirm that the script exists."
