id,name,level,parent_id,parent_name,path,classification,decision_basis
1,半导体产业,1,0,,半导体产业,,
1-1,半导体材料,2,1,半导体产业,半导体产业/半导体材料,,按产业环节分类
1-1-1,硅材料,3,1-1,半导体材料,半导体产业/半导体材料/硅材料,,按材料类型分类
1-1-1-1,多晶硅,4,1-1-1,硅材料,半导体产业/半导体材料/硅材料/多晶硅,,按晶体结构分类
1-1-1-1-1,太阳能级多晶硅,5,1-1-1-1,多晶硅,半导体产业/半导体材料/硅材料/多晶硅/太阳能级多晶硅,,按纯度等级分类
1-1-1-1-2,电子级多晶硅,5,1-1-1-1,多晶硅,半导体产业/半导体材料/硅材料/多晶硅/电子级多晶硅,,按纯度等级分类，纯度要求 99.9999999% 以上
1-1-1-2,单晶硅棒,4,1-1-1,硅材料,半导体产业/半导体材料/硅材料/单晶硅棒,,按晶体形态分类
1-1-1-2-1,直拉法单晶硅,5,1-1-1-2,单晶硅棒,半导体产业/半导体材料/硅材料/单晶硅棒/直拉法单晶硅,,按生长工艺分类，CZ 法，主流技术
1-1-1-2-2,区熔法单晶硅,5,1-1-1-2,单晶硅棒,半导体产业/半导体材料/硅材料/单晶硅棒/区熔法单晶硅,,按生长工艺分类，FZ 法，高纯度应用
1-1-1-3,硅片,4,1-1-1,硅材料,半导体产业/半导体材料/硅材料/硅片,,按产品形态分类
1-1-1-3-1,抛光片,5,1-1-1-3,硅片,半导体产业/半导体材料/硅材料/硅片/抛光片,,按加工工艺分类
1-1-1-3-2,外延片,5,1-1-1-3,硅片,半导体产业/半导体材料/硅材料/硅片/外延片,,按加工工艺分类
1-1-1-3-3,SOI 硅片,5,1-1-1-3,硅片,半导体产业/半导体材料/硅材料/硅片/SOI 硅片,,按特殊结构分类，绝缘体上硅
1-1-2,化合物半导体材料,3,1-1,半导体材料,半导体产业/半导体材料/化合物半导体材料,,按化学成分分类
1-1-2-1,砷化镓,4,1-1-2,化合物半导体材料,半导体产业/半导体材料/化合物半导体材料/砷化镓,,按材料体系分类，GaAs，射频器件主流材料
1-1-2-2,氮化镓,4,1-1-2,化合物半导体材料,半导体产业/半导体材料/化合物半导体材料/氮化镓,,按材料体系分类，GaN，功率器件和射频应用
1-1-2-3,碳化硅,4,1-1-2,化合物半导体材料,半导体产业/半导体材料/化合物半导体材料/碳化硅,,按材料体系分类，SiC，高压功率器件
1-1-2-4,磷化铟,4,1-1-2,化合物半导体材料,半导体产业/半导体材料/化合物半导体材料/磷化铟,,按材料体系分类，InP，光通信器件
1-1-3,光刻胶,3,1-1,半导体材料,半导体产业/半导体材料/光刻胶,,按功能材料分类
1-1-3-1,g 线光刻胶,4,1-1-3,光刻胶,半导体产业/半导体材料/光刻胶/g 线光刻胶,,按曝光波长分类
1-1-3-2,i 线光刻胶,4,1-1-3,光刻胶,半导体产业/半导体材料/光刻胶/i 线光刻胶,,按曝光波长分类
1-1-3-3,KrF 光刻胶,4,1-1-3,光刻胶,半导体产业/半导体材料/光刻胶/KrF 光刻胶,,按曝光波长分类，248nm
1-1-3-4,ArF 光刻胶,4,1-1-3,光刻胶,半导体产业/半导体材料/光刻胶/ArF 光刻胶,,按曝光波长分类，193nm，主流先进制程
1-1-3-5,EUV 光刻胶,4,1-1-3,光刻胶,半导体产业/半导体材料/光刻胶/EUV 光刻胶,,按曝光波长分类，13.5nm，最先进制程
1-1-4,电子特气,3,1-1,半导体材料,半导体产业/半导体材料/电子特气,,按功能材料分类
1-1-4-1,掺杂气体,4,1-1-4,电子特气,半导体产业/半导体材料/电子特气/掺杂气体,,按用途分类
1-1-4-2,刻蚀气体,4,1-1-4,电子特气,半导体产业/半导体材料/电子特气/刻蚀气体,,按用途分类
1-1-4-3,沉积气体,4,1-1-4,电子特气,半导体产业/半导体材料/电子特气/沉积气体,,按用途分类
1-1-4-4,清洗气体,4,1-1-4,电子特气,半导体产业/半导体材料/电子特气/清洗气体,,按用途分类
1-2,半导体设备,2,1,半导体产业,半导体产业/半导体设备,,按产业环节分类
1-2-1,光刻设备,3,1-2,半导体设备,半导体产业/半导体设备/光刻设备,,按工艺环节分类
1-2-1-1,DUV 光刻机,4,1-2-1,光刻设备,半导体产业/半导体设备/光刻设备/DUV 光刻机,,按光源类型分类，深紫外光刻
1-2-1-2,EUV 光刻机,4,1-2-1,光刻设备,半导体产业/半导体设备/光刻设备/EUV 光刻机,,按光源类型分类，极紫外光刻，最先进制程
1-2-2,刻蚀设备,3,1-2,半导体设备,半导体产业/半导体设备/刻蚀设备,,按工艺环节分类
1-2-2-1,干法刻蚀机,4,1-2-2,刻蚀设备,半导体产业/半导体设备/刻蚀设备/干法刻蚀机,,按刻蚀方式分类，等离子刻蚀
1-2-2-2,湿法刻蚀机,4,1-2-2,刻蚀设备,半导体产业/半导体设备/刻蚀设备/湿法刻蚀机,,按刻蚀方式分类，化学溶液刻蚀
1-2-3,薄膜沉积设备,3,1-2,半导体设备,半导体产业/半导体设备/薄膜沉积设备,,按工艺环节分类
1-2-3-1,PVD 设备,4,1-2-3,薄膜沉积设备,半导体产业/半导体设备/薄膜沉积设备/PVD 设备,,按沉积技术分类，物理气相沉积
1-2-3-2,CVD 设备,4,1-2-3,薄膜沉积设备,半导体产业/半导体设备/薄膜沉积设备/CVD 设备,,按沉积技术分类，化学气相沉积
1-2-3-3,ALD 设备,4,1-2-3,薄膜沉积设备,半导体产业/半导体设备/薄膜沉积设备/ALD 设备,,按沉积技术分类，原子层沉积，高精度薄膜
1-2-4,离子注入设备,3,1-2,半导体设备,半导体产业/半导体设备/离子注入设备,,按工艺环节分类
1-2-5,化学机械抛光设备,3,1-2,半导体设备,半导体产业/半导体设备/化学机械抛光设备,,按工艺环节分类，CMP 设备
1-2-6,清洗设备,3,1-2,半导体设备,半导体产业/半导体设备/清洗设备,,按工艺环节分类
1-2-7,过程控制设备,3,1-2,半导体设备,半导体产业/半导体设备/过程控制设备,,按工艺环节分类，检测与量测
1-2-8,热处理设备,3,1-2,半导体设备,半导体产业/半导体设备/热处理设备,,按工艺环节分类
1-2-9,封装设备,3,1-2,半导体设备,半导体产业/半导体设备/封装设备,,按工艺环节分类
1-2-10,测试设备,3,1-2,半导体设备,半导体产业/半导体设备/测试设备,,按工艺环节分类
1-3,集成电路设计,2,1,半导体产业,半导体产业/集成电路设计,,按产业环节分类
1-3-1,逻辑芯片设计,3,1-3,集成电路设计,半导体产业/集成电路设计/逻辑芯片设计,,按芯片类型分类
1-3-1-1,CPU 设计,4,1-3-1,逻辑芯片设计,半导体产业/集成电路设计/逻辑芯片设计/CPU 设计,,按芯片功能分类，中央处理器
1-3-1-2,GPU 设计,4,1-3-1,逻辑芯片设计,半导体产业/集成电路设计/逻辑芯片设计/GPU 设计,,按芯片功能分类，图形处理器
