slug,heading_font,body_font,mood,use_cases,google_fonts_url
cormorant-montserrat,Cormorant Garamond,Montserrat,"elegant,calming,sophisticated","luxury brands,wellness,beauty,editorial","https://fonts.google.com/share?selection.family=Cormorant+Garamond|Montserrat"
playfair-inter,Playfair Display,Inter,"classic,modern,versatile","fashion,lifestyle,blogs,portfolio","https://fonts.google.com/share?selection.family=Playfair+Display|Inter"
oswald-roboto,Oswald,Roboto,"bold,strong,modern","sports,fitness,tech,startups","https://fonts.google.com/share?selection.family=Oswald|Roboto"
merriweather-open-sans,Merriweather,Open Sans,"readable,professional,trustworthy","news,blogs,documentation,corporate","https://fonts.google.com/share?selection.family=Merriweather|Open+Sans"
poppins-lato,Poppins,Lato,"friendly,modern,approachable","SaaS,startups,apps,websites","https://fonts.google.com/share?selection.family=Poppins|Lato"
raleway-source-sans,Raleway,Source Sans Pro,"clean,elegant,professional","corporate,portfolio,minimal","https://fonts.google.com/share?selection.family=Raleway|Source+Sans+Pro"
nunito-muli,Nunito,Muli,"soft,friendly,approachable","education,children,wellness","https://fonts.google.com/share?selection.family=Nunito|Muli"
roboto-slab-roboto,Roboto Slab,Roboto,"modern,geometric,versatile","tech,apps,websites,documentation","https://fonts.google.com/share?selection.family=Roboto+Slab|Roboto"
bebas-neue-open-sans,Bebas Neue,Open Sans,"bold,impactful,attention-grabbing","posters,headers,marketing","https://fonts.google.com/share?selection.family=Bebas+Neue|Open+Sans"
anton-roboto,Anton,Roboto,"strong,bold,industrial","sports,automotive,construction","https://fonts.google.com/share?selection.family=Anton|Roboto"
dancing-script-roboto,Dancing Script,Roboto,"elegant,flowing,creative","weddings,invitations,creative","https://fonts.google.com/share?selection.family=Dancing+Script|Roboto"
pacifico-open-sans,Pacifico,Open Sans,"casual,fun,friendly","restaurants,cafes,creative","https://fonts.google.com/share?selection.family=Pacifico|Open+Sans"
lobster-open-sans,Lobster,Open Sans,"retro,bold,attention-grabbing","vintage,restaurants,creative","https://fonts.google.com/share?selection.family=Lobster|Open+Sans"
righteous-roboto,Righteous,Roboto,"futuristic,tech,modern","gaming,crypto,tech products","https://fonts.google.com/share?selection.family=Righteous|Roboto"
bangers-roboto,Bangers,Roboto,"comic,fun,energetic","games,children,entertainment","https://fonts.google.com/share?selection.family=Bangers|Roboto"
