id,name,level,parent_id,parent_name,path,classification,decision_basis
1,航空航天,1,,,航空航天,,
1-1,研发设计,2,1,航空航天,航空航天/研发设计,,
1-1-1,航空研发设计,3,1-1,研发设计,航空航天/研发设计/航空研发设计,,
1-1-1-1,总体设计,4,1-1-1,航空研发设计,航空航天/研发设计/航空研发设计/总体设计,,
1-1-1-1-1,气动设计,5,1-1-1-1,总体设计,航空航天/研发设计/航空研发设计/总体设计/气动设计,,
1-1-1-1-1-1,翼型设计,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/翼型设计,,
1-1-1-1-1-2,机身气动优化,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/机身气动优化,,
1-1-1-1-1-3,进气道设计,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/进气道设计,,
1-1-1-1-1-4,尾翼气动设计,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/尾翼气动设计,,
1-1-1-1-1-5,短舱气动设计,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/短舱气动设计,,
1-1-1-1-1-6,气动噪声分析,6,1-1-1-1-1,气动设计,航空航天/研发设计/航空研发设计/总体设计/气动设计/气动噪声分析,,
1-1-1-1-2,布局设计,5,1-1-1-1,总体设计,航空航天/研发设计/航空研发设计/总体设计/布局设计,,
1-1-1-1-2-1,翼身布局,6,1-1-1-1-2,布局设计,航空航天/研发设计/航空研发设计/总体设计/布局设计/翼身布局,,
1-1-1-1-2-2,尾翼布局,6,1-1-1-1-2,布局设计,航空航天/研发设计/航空研发设计/总体设计/布局设计/尾翼布局,,
1-1-1-1-2-3,发动机布局,6,1-1-1-1-2,布局设计,航空航天/研发设计/航空研发设计/总体设计/布局设计/发动机布局,,
1-1-1-1-2-4,起落架布局,6,1-1-1-1-2,布局设计,航空航天/研发设计/航空研发设计/总体设计/布局设计/起落架布局,,
1-1-1-1-3,性能分析,5,1-1-1-1,总体设计,航空航天/研发设计/航空研发设计/总体设计/性能分析,,
1-1-1-1-3-1,飞行性能计算,6,1-1-1-1-3,性能分析,航空航天/研发设计/航空研发设计/总体设计/性能分析/飞行性能计算,,
1-1-1-1-3-2,操稳特性分析,6,1-1-1-1-3,性能分析,航空航天/研发设计/航空研发设计/总体设计/性能分析/操稳特性分析,,
1-1-1-1-3-3,载荷分析,6,1-1-1-1-3,性能分析,航空航天/研发设计/航空研发设计/总体设计/性能分析/载荷分析,,
1-1-1-1-3-4,重量估算,6,1-1-1-1-3,性能分析,航空航天/研发设计/航空研发设计/总体设计/性能分析/重量估算,,
1-1-1-2,结构设计,4,1-1-1,航空研发设计,航空航天/研发设计/航空研发设计/结构设计,,
1-1-1-2-1,机体结构设计,5,1-1-1-2,结构设计,航空航天/研发设计/航空研发设计/结构设计/机体结构设计,,
1-1-1-2-1-1,机翼结构设计,6,1-1-1-2-1,机体结构设计,航空航天/研发设计/航空研发设计/结构设计/机体结构设计/机翼结构设计,,
1-1-1-2-1-2,机身结构设计,6,1-1-1-2-1,机体结构设计,航空航天/研发设计/航空研发设计/结构设计/机体结构设计/机身结构设计,,
1-1-1-2-1-3,尾翼结构设计,6,1-1-1-2-1,机体结构设计,航空航天/研发设计/航空研发设计/结构设计/机体结构设计/尾翼结构设计,,
