Product_ID,Name,Stock_Count,Reorder_Level
P001,Wireless Mouse,150,30
P002,Mechanical Keyboard,85,20
P003,USB-C Hub,200,50
P004,Monitor Stand,45,15
P005,Webcam HD,120,25
P006,Desk Lamp LED,60,20
P007,Cable Management Kit,300,75
P008,Laptop Stand,90,25
P009,Noise Cancelling Headphones,35,10
P010,External SSD 1TB,75,20
P011,Wireless Charger,180,40
P012,Screen Protector Pack,500,100
P013,Ergonomic Chair,25,10
P014,Standing Desk Mat,110,30
P015,Bluetooth Speaker,65,15
P016,USB Microphone,40,10
P017,HDMI Cable 2m,400,80
P018,Mouse Pad XL,250,50
P019,Portable Monitor,30,10
P020,Docking Station,55,15
P021,Keyboard Wrist Rest,140,35
P022,Privacy Screen Filter,70,20
P023,Surge Protector,95,25
P024,Desk Organizer,160,40
P025,Webcam Light Ring,85,20
P026,USB Flash Drive 64GB,350,70
P027,Ethernet Adapter,45,15
P028,Monitor Arm,38,10
P029,Cable Clips Set,280,60
P030,Desk Fan USB,50,15
P031,Document Scanner,20,5
P032,Graphics Tablet,15,5
P033,Thermal Printer Paper,220,50
P034,Label Maker,42,10
P035,Portable Projector,12,5
P036,Cleaning Kit Electronics,175,40
P037,Anti-Fatigue Mat,65,15
P038,Desk Shelf Riser,55,15
P039,Pen Holder Set,190,45
P040,Whiteboard Desktop,30,10
