No,English_Term,Chinese_Term,Category,Definition,Related_Courses,Aliases
1,GPU (Graphics Processing Unit),图形处理单元,architecture,"Massively parallel processor optimized for throughput-oriented workloads","GPU Computing;FPGA;Special HW for LLMs","GPU"
2,CPU (Central Processing Unit),中央处理器,architecture,"Latency-optimized processor with complex control logic and large caches","GPU Computing;Parallel Computing","CPU"
3,Streaming Multiprocessor (SM),流式多处理器,architecture,"Independent processing unit within GPU containing CUDA cores and shared memory","GPU Computing","SM"
4,CUDA Core,CUDA 核心,architecture,"Individual arithmetic logic unit within an SM for floating-point operations","GPU Computing","FP32 Core"
5,Tensor Core,张量核心,architecture,"Specialized hardware for matrix multiply-accumulate operations","GPU Computing;Special HW for LLMs;Machine Learning","TC"
6,Warp,线程束,architecture,"Group of 32 threads executing in lockstep on an SM","GPU Computing","warp"
7,Warp Scheduler,线程束调度器,architecture,"Hardware unit that selects ready warps for execution each cycle","GPU Computing",""
8,Register File,寄存器文件,memory,"Fastest on-chip storage private to each thread","GPU Computing","registers"
9,Moore's Law,摩尔定律,theory,"Transistor density doubles approximately every 2 years","GPU Computing;FPGA","Moore"
10,Dennard Scaling,登纳德缩放,theory,"As transistors shrink voltage scales proportionally keeping power density constant","GPU Computing","Dennard"
11,Amdahl's Law,阿姆达尔定律,theory,"Maximum speedup limited by serial fraction: S = 1/(s + p/N)","GPU Computing;Parallel Computing","Amdahl"
12,Gustafson's Law,古斯塔夫森定律,theory,"Scaled speedup grows linearly with processors for fixed-time problems","GPU Computing;Parallel Computing","Gustafson"
13,SIMT (Single Instruction Multiple Threads),单指令多线程,execution,"GPU execution model where 32 threads share one instruction stream","GPU Computing","SIMT"
14,SIMD (Single Instruction Multiple Data),单指令多数据,execution,"Processing model where one instruction operates on multiple data elements","GPU Computing;Parallel Computing;FPGA","SIMD"
15,BSP Model (Bulk Synchronous Parallel),批量同步并行模型,execution,"Parallel computation model with supersteps separated by barriers","GPU Computing;Parallel Computing","BSP"
16,Latency Hiding,延迟隐藏,execution,"Technique of overlapping memory access latency with computation from other warps","GPU Computing","latency tolerance"
17,Branch Divergence,分支发散,execution,"Performance loss when threads in a warp take different execution paths","GPU Computing","warp divergence"
18,Occupancy,占用率,execution,"Ratio of active warps to maximum supported warps on an SM","GPU Computing","occupancy"
19,Thread Block,线程块,execution,"Group of threads that execute on the same SM and share shared memory","GPU Computing","block;CTA"
20,Grid,网格,execution,"Collection of thread blocks that execute a kernel","GPU Computing","grid"
21,Kernel,内核,execution,"Function that runs on the GPU launched from host code","GPU Computing","CUDA kernel"
22,Shared Memory,共享内存,memory,"Fast on-chip memory shared among threads within a thread block","GPU Computing","SMEM;__shared__"
23,Global Memory,全局内存,memory,"Large off-chip DRAM accessible by all threads with high latency","GPU Computing","device memory"
24,L1 Cache,L1 缓存,memory,"First-level on-chip cache per SM","GPU Computing;Computer Architecture","L1"
25,L2 Cache,L2 缓存,memory,"Second-level cache shared across all SMs","GPU Computing;Computer Architecture","L2"
26,Constant Memory,常量内存,memory,"Read-only cached memory optimized for broadcast access patterns","GPU Computing","__constant__"
27,Memory Coalescing,内存合并访问,memory,"Hardware optimization that combines multiple thread memory accesses into fewer transactions","GPU Computing","coalesced access"
28,Bank Conflict,存储体冲突,memory,"Slowdown when multiple threads access the same shared memory bank simultaneously","GPU Computing","bank conflict"
29,Register Spilling,寄存器溢出,memory,"When a thread uses more registers than available causing overflow to local memory","GPU Computing","spilling"
30,Unified Memory,统一内存,memory,"Single address space automatically migrating pages between CPU and GPU","GPU Computing","managed memory;cudaMallocManaged"
31,Pinned Memory,固定内存,memory,"Page-locked host memory enabling faster DMA transfers","GPU Computing","page-locked memory"
32,HBM (High Bandwidth Memory),高带宽内存,memory,"Stacked DRAM technology providing very high bandwidth for GPUs","GPU Computing;Special HW for LLMs","HBM2;HBM3"
33,Memory Hierarchy,内存层次结构,memory,"Layered organization of storage from fast-small to slow-large","GPU Computing;Computer Architecture","memory hierarchy"
34,Cache Line,缓存行,memory,"Minimum unit of data transfer between cache levels typically 128 bytes","GPU Computing;Computer Architecture","cache block"
35,Memory Consistency,内存一致性模型,consistency,"Rules defining the order in which memory operations become visible","GPU Computing;Parallel Computing","consistency model"
36,Cache Coherency,缓存一致性,consistency,"Protocol ensuring all processors see consistent values for shared data","GPU Computing;Parallel Computing","coherency"
37,Sequential Consistency,顺序一致性,consistency,"Strongest consistency model where all operations appear in program order","GPU Computing;Parallel Computing","SC"
38,Release Consistency,释放一致性,consistency,"Relaxed consistency model using acquire/release synchronization primitives","GPU Computing;Parallel Computing","RC"
39,Atomic Operation,原子操作,consistency,"Memory operation that completes as a single indivisible unit","GPU Computing;Parallel Computing","atomics"
40,Memory Fence,内存栅栏,consistency,"Instruction that enforces ordering of memory operations","GPU Computing;Parallel Computing","memory barrier;__threadfence"
41,CUDA Kernel,CUDA 内核,programming,"GPU function declared with __global__ launched from host","GPU Computing","__global__"
42,__syncthreads(),线程同步,programming,"Barrier synchronization for all threads within a thread block","GPU Computing","block sync"
43,cudaMalloc,CUDA 内存分配,programming,"Allocates memory on the GPU device","GPU Computing","device allocation"
44,cudaMemcpy,CUDA 内存复制,programming,"Transfers data between host and device memory","GPU Computing","H2D;D2H"
