热度,作者,用户名,内容,链接,发布时间
1867,Grand Theft Auto 6 Alerts,GTA6Alerts,"This game came out in 2018, designed for machines with 8GB of RAM and a slow HDD.  Now imagine what Rockstar Games is cooking for GTA 6 🔥  https://t.co/doI1LbBYsx",https://twitter.com/GTA6Alerts/status/2031763184298947015,Wed Mar 11 16:04:26 +0000 2026
298,น้อย นก.🐣🌻,bl_zonee,"Bro really went full-on secret agent mode just to reply to a question about a ring he built a whole cipher puzzle, hid it like it’s top secret, and let us decode ‘JOONGDUNK FOREVER.’ WTF  SKSKSKS PEOP",https://twitter.com/bl_zonee/status/2031698302392307949,Wed Mar 11 11:46:37 +0000 2026
196,Shiv,shivst3r,The past 30 days have been huge for @AbstractChain  ICYMI:  > Abstract wrapped arrived on the Portal. > Abstract streaming now works with Twitch and X. > First Abstract AMA was held in Discord (was a ,https://twitter.com/shivst3r/status/2031801826069151819,Wed Mar 11 18:37:59 +0000 2026
181,8Bit Primates,8BitPrimates,Introducing 8Bit Mint Bot | Built To Execute⚡  • Multi Wallet Minting • AI Optimized Gas • Live Mint Activity Logs • Multi Wallet Manager & More  444 Primates Will Be Minting For Free Soon. Secure You,https://twitter.com/8BitPrimates/status/2031711885759017432,Wed Mar 11 12:40:35 +0000 2026
146,NodeOps Network,BuildOnNodeOps,"Build It Now brings a new story every week.  Our third episode features a builder from Delhi: • Project: Agent Blaster • Builder: @pratty_agi, Applied AI Engineer at @agihouseindia • Use case: A puzzl",https://twitter.com/BuildOnNodeOps/status/2031686764738277877,Wed Mar 11 11:00:46 +0000 2026
135,Zyfai,Zyfai_,"Ethereum is for Agents ⬆️  Zyfai brings a trustless, rule-based yield stack to agentic DeFi on @ethereum, powered by @safe and verifiable through ZK proofs &amp; ERC-8004.  Now supporting ETH alongsid",https://twitter.com/Zyfai_/status/2031784548825272711,Wed Mar 11 17:29:19 +0000 2026
124,veizau,veizau,"Pokimane calls out Agent for acting like it’s her fault they haven’t done a collab in Morocco yet  “The audacity to clip farm me and ask, ‘When are we going to Morocco? You keep dodging.’ In what univ",https://twitter.com/veizau/status/2031850095927575037,Wed Mar 11 21:49:47 +0000 2026
86,Berkay Secil,berkay_secil,"Autonomous AI agents are already trading and operating across DeFi.  Few examples on @base: • @AIxVC_Axelrod: AI hedge fund agent combining fundamental, technical, onchain and sentiment signals to all",https://twitter.com/berkay_secil/status/2031792818985845089,Wed Mar 11 18:02:11 +0000 2026
82,Surge,Surgexyz_,"Together with @lablabai and @AerodromeFi we're launching our ERC-8004 hack for agents that trade.   You can tune into live progress, upvote the best teams and invest into the best agents using Surge 2",https://twitter.com/Surgexyz_/status/2031813981992861952,Wed Mar 11 19:26:17 +0000 2026
76,BridgeMind,bridgemindai,Hunter Alpha just dropped on OpenRouter.  1 trillion parameters.   1M token context.   $0 per token.  Free.  Built specifically for agentic use.   Long-horizon planning.   Complex reasoning.   Multi-s,https://twitter.com/bridgemindai/status/2031900357433950234,Thu Mar 12 01:09:30 +0000 2026
61,Chill,ChillTRD,"$NOOK has now strategically placed itself in the core AI agent infrastructure pipeline.  • On the top, you have Clawnch that gives agents access to all crypto primitives (cross-chain swaps, DeFi, yiel",https://twitter.com/ChillTRD/status/2031835336570204490,Wed Mar 11 20:51:08 +0000 2026
59,VETRA ⚙️,0X_Vetra,"→ @ethereum Foundation’s dAI team and @virtuals_io introduced ERC-8183, a standard designed to solve one of the hardest problems in autonomous AI systems:  How two AI agents that don’t trust each othe",https://twitter.com/0X_Vetra/status/2031971272733741179,Thu Mar 12 05:51:18 +0000 2026
52,Abubaker,AbubakerDev,Hero section designed for an AI agent startup.  How’s it looking? https://t.co/Y9SMGfp3qB,https://twitter.com/AbubakerDev/status/2031788996444197106,Wed Mar 11 17:47:00 +0000 2026
