Employee_ID,Department,Satisfaction_Score,Years_At_Company,Would_Recommend,Comments
E001,Engineering,8,5,Yes,Great team culture and interesting projects
E002,Engineering,7,3,Yes,Good work-life balance but could use better tools
E003,Marketing,6,2,Yes,Nice people but unclear career progression
E004,Engineering,9,7,Yes,Best company I have worked for
E005,Sales,5,1,No,High pressure environment with unrealistic targets
E006,HR,7,4,Yes,Supportive management and good benefits
E007,Engineering,8,6,Yes,Love the technical challenges
E008,Marketing,4,1,No,Poor communication between departments
E009,Sales,6,3,Yes,Commission structure could be better
E010,Engineering,9,8,Yes,Excellent mentorship opportunities
E011,HR,8,5,Yes,Good culture and people-focused leadership
E012,Sales,3,1,No,Toxic sales floor culture needs to change
E013,Marketing,7,4,Yes,Creative freedom is appreciated
E014,Engineering,7,2,Yes,Good onboarding process
E015,Finance,6,3,No,Too much bureaucracy in approval processes
E016,Sales,7,5,Yes,Improved a lot in the last year
E017,Engineering,10,10,Yes,Would not work anywhere else
E018,Marketing,5,2,No,Management needs to listen to frontline staff more
E019,HR,9,6,Yes,Proud to work here
E020,Finance,7,4,Yes,Stable and predictable work environment
E021,Engineering,6,1,Yes,Steep learning curve but supportive team
E022,Sales,4,2,No,Turnover is too high in this department
E023,Marketing,8,5,Yes,Great brand to work for
E024,Engineering,8,4,Yes,Flexible remote work policy is a huge plus
E025,Finance,5,2,No,Salary below market rate for finance roles
E026,HR,7,3,Yes,Meaningful work in employee development
E027,Sales,6,4,Yes,Getting better with new leadership
E028,Engineering,9,6,Yes,Innovation is genuinely encouraged
E029,Marketing,7,3,Yes,Good team but limited budget
E030,Finance,8,7,Yes,Reliable company with good job security
E031,Engineering,7,2,Yes,Modern tech stack is a plus
E032,Sales,5,1,No,Training program needs serious improvement
E033,HR,6,3,Yes,Good but can be slow to implement changes
E034,Marketing,8,5,Yes,Love the creative campaigns we get to work on
E035,Engineering,8,4,Yes,Collaborative environment
E036,Finance,6,2,Yes,Decent but nothing exceptional
E037,Sales,7,6,Yes,Long tenure here speaks for itself
E038,Engineering,9,5,Yes,Best engineering culture in the industry
E039,Marketing,3,1,No,Expected more strategic work and less admin
E040,HR,8,4,Yes,Leadership genuinely cares about employees
E041,Engineering,7,3,Yes,Good mix of autonomy and structure
E042,Sales,6,2,Yes,Improving but still work to do
E043,Finance,7,5,Yes,Conservative but stable
E044,Marketing,6,2,No,Promotion criteria are unclear
E045,Engineering,8,7,Yes,Consistently great place to work
E046,Sales,4,1,No,Burnout is a real problem here
E047,HR,7,4,Yes,Decent benefits package
E048,Finance,5,1,No,Outdated systems and processes
E049,Engineering,9,9,Yes,Keep doing what you are doing
E050,Marketing,7,3,Yes,Good work environment overall
