No,Question_Type,Level,Template,Example_Topic,Example_Question,Bloom_Level,Keywords
1,definition,recall,"What is {{CONCEPT}}?",Shared Memory,"What is Shared Memory in GPU computing?",remember,what is define describe list name
2,function,recall,"What is the purpose/function of {{CONCEPT}}?",Warp Scheduler,"What is the purpose of the Warp Scheduler?",remember,purpose function role job what does
3,comparison,recall,"What are the key differences between {{A}} and {{B}}?",AoS vs SoA,"What are the key differences between Array of Structs and Struct of Arrays?",remember,difference between compare contrast distinguish
4,list,recall,"Name {{N}} types/examples of {{CONCEPT}}.",Memory Types,"Name 5 types of GPU memory in order of access speed.",remember,name list enumerate types examples
5,formula,recall,"Write the formula for {{CONCEPT}} and define each variable.",Amdahl's Law,"Write the formula for Amdahl's Law and define each variable.",remember,formula equation write express calculate
6,why,understanding,"Why does {{CONCEPT}} improve {{METRIC}}?",Tiling,"Why does tiling improve cache utilization in matrix multiplication?",understand,why explain reason because cause
7,mechanism,understanding,"How does {{CONCEPT}} work internally?",Latency Hiding,"How does latency hiding work through warp scheduling?",understand,how explain mechanism process works internally
8,tradeoff,understanding,"What are the tradeoffs of using {{CONCEPT}}?",Unified Memory,"What are the tradeoffs of using Unified Memory versus explicit memory management?",understand,tradeoff advantage disadvantage pros cons when
9,relationship,understanding,"How does {{A}} relate to {{B}}?",Occupancy and Latency Hiding,"How does occupancy relate to the GPU's ability to hide memory latency?",understand,relate relationship connection affect influence impact
10,consequence,understanding,"What happens if {{CONDITION}}?",Missing syncthreads,"What happens if you forget to call __syncthreads() after loading data into shared memory?",understand,what happens if consequence result effect when
11,design,application,"Design a {{SOLUTION}} for {{PROBLEM}}.",Tiled Matrix Multiply,"Design a tiled matrix multiply kernel using shared memory for 16x16 tiles.",apply,design implement write create build code
12,optimize,application,"Given {{SCENARIO}}, how would you optimize {{TARGET}}?",Memory-Bound Kernel,"Given a kernel that achieves only 30% of peak memory bandwidth how would you optimize it?",apply,optimize improve increase reduce enhance performance
13,debug,application,"{{CODE}} produces incorrect results. Find and fix the bug.",Bank Conflict Code,"This kernel has bank conflicts in shared memory access. Identify the conflict pattern and fix it with padding.",apply,debug fix error bug incorrect wrong find
14,calculate,application,"Calculate {{METRIC}} given {{PARAMETERS}}.",Speedup with Amdahl,"Calculate the maximum speedup for a program with 20% serial code running on 64 processors using Amdahl's Law.",apply,calculate compute determine find value how much
15,predict,application,"Predict the performance impact of {{CHANGE}} on {{SYSTEM}}.",Doubling Block Size,"Predict what happens to occupancy and performance if you double the block size from 128 to 256 threads.",apply,predict estimate expect what would happen if
16,classify,analysis,"Is {{SCENARIO}} an example of {{CONCEPT_A}} or {{CONCEPT_B}}? Justify.",Memory vs Compute Bound,"A kernel performs 100 FLOPs per 128 bytes loaded. Is it memory-bound or compute-bound on a GPU with machine balance of 10 FLOP/byte?",analyze,classify categorize which type is this justify
17,compare-deep,analysis,"Compare {{A}} and {{B}} in terms of {{CRITERIA}}. When would you choose each?",CUDA Streams vs Dynamic Parallelism,"Compare CUDA Streams and Dynamic Parallelism for task-level parallelism. When would you choose each approach?",analyze,compare analyze evaluate which better when
18,critique,evaluation,"Evaluate this {{APPROACH}} for {{PROBLEM}}. What are its limitations?",Roofline Analysis,"A student claims their kernel is optimized because it reaches 80% of the roofline. Evaluate this claim.",evaluate,evaluate critique assess limitation weakness strength
19,synthesis,creation,"Propose a solution that combines {{A}} and {{B}} to solve {{PROBLEM}}.",Shared Memory + Streams,"Propose an architecture that combines shared memory tiling with CUDA streams to optimize a batch matrix multiplication.",create,propose design combine integrate new approach
20,exam-calculation,exam-prep,"Given: {{PARAMETERS}}. Calculate: {{TARGET}}. Show your work.",GPU Bandwidth,"Given: GPU with 900 GB/s bandwidth and 15 TFLOPS peak. A kernel performs 8 FLOP per float loaded. Calculate: (a) arithmetic intensity, (b) is it memory or compute bound?",apply,exam calculate show work given find
21,exam-short-answer,exam-prep,"In 2-3 sentences explain {{CONCEPT}} and give one practical example.",Branch Divergence,"In 2-3 sentences explain branch divergence and give one practical example of how it causes performance loss in CUDA.",understand,exam explain short answer brief example
22,exam-code-analysis,exam-prep,"Analyze this code snippet. (a) Identify the issue. (b) Fix it. (c) Estimate the performance improvement.",Reduction Optimization,"Analyze this parallel reduction kernel. (a) Why does it have warp divergence? (b) Rewrite to use sequential addressing. (c) Estimate the speedup.",analyze,exam code analyze identify fix improve
